ManufacturerId is 0x35393738333300
DAL version is 1.2.0.6
DAL device is activated
Instance state changed, now Starting
Instance state changed, now Running

Socket Descriptor validation: ProtocolArcp config=30440 actual=30440
677137.191360800: control=0 audio=1447 late=0 nonSeq=0
ProtocolArcpLocal config=30441 actual=30441
ProtocolDbcp config=30455 actual=30455
ProtocolCmcp config=34800 actual=34800
ProtocolConmonChannels config=34700 actual=34700
ProtocolConmonClient config=34900 actual=34900
ProtocolDomainClientProxy config=34001 actual=34001
ProtocolAudioBase config=30336 actual=30336
ProtocolWebSocket config=0 actual=60489
ProtocolMdnsClient config=34002 actual=34002
677274.9892900: control=24008 audio=1374 late=0 nonSeq=0
677275.8834100: control=23903 audio=1639 late=0 nonSeq=0
677276.13811300: control=23944 audio=1579 late=0 nonSeq=0
677277.14354000: control=21413 audio=1435 late=0 nonSeq=0
677278.15358900: control=23565 audio=1126 late=0 nonSeq=0
677279.17358300: control=23552 audio=1355 late=0 nonSeq=0
677280.10357100: control=21087 audio=1297 late=0 nonSeq=0
677281.19900300: control=22697 audio=1842 late=0 nonSeq=0
677282.8865400: control=23585 audio=1506 late=0 nonSeq=0
677283.3448400: control=23658 audio=1274 late=0 nonSeq=0
677284.7491800: control=23854 audio=1540 late=0 nonSeq=0
677285.8360400: control=23239 audio=1314 late=0 nonSeq=0
677286.14878900: control=23854 audio=1591 late=0 nonSeq=0
677287.19860500: control=24591 audio=1156 late=0 nonSeq=0
677288.2368400: control=23454 audio=1080 late=0 nonSeq=0
677289.15312700: control=23681 audio=1842 late=0 nonSeq=0
677290.17874200: control=24353 audio=1404 late=0 nonSeq=0
677291.13377900: control=23464 audio=1312 late=0 nonSeq=0
677292.19936400: control=23463 audio=1679 late=0 nonSeq=0
677293.2916400: control=20970 audio=1090 late=0 nonSeq=0
677294.1349200: control=23934 audio=1119 late=0 nonSeq=0
677295.345100: control=23126 audio=1336 late=0 nonSeq=0
677296.12905500: control=23434 audio=1187 late=0 nonSeq=0
677297.15386400: control=23477 audio=1113 late=0 nonSeq=0
677298.14403200: control=23499 audio=1266 late=0 nonSeq=0
677299.1356700: control=24117 audio=1253 late=0 nonSeq=0
677300.11854100: control=23437 audio=1573 late=0 nonSeq=0
